user-id,feature
1297,[1.31998205 0.02168406 0.18121506]
1331,[3.15167734 0.56438414 1.22962887]
1348,[4.334438   0.10871784 0.14652818]
1368,[-0.5637172  -0.02201939  0.00593815]
1372,[-3.23636446 -1.28361914 -3.45534586]
1399,[-2.88075807 -0.37721232  0.31702312]
1412,[5.38498026 0.35129952 0.06271388]
1435,[-0. -0. -0.]
1485,[ 0.  0. -0.]
1548,[-0. -0.  0.]
1558,[-2.34631012 -0.06304987  0.18247454]
1585,[0. 0. 0.]
1596,[ 0.  0. -0.]
1608,[ 3.65694514e+00  8.64038269e-03 -1.50082115e-04]
1674,[0. 0. 0.]
1688,[0. 0. 0.]
1705,[ 5.15766102  0.44690246 -0.09005803]
1706,[0.60176435 0.0559059  0.51296219]
1725,[4.25258466 0.17106556 0.00478512]
1733,[ 0.  0. -0.]
1790,[-0.7021512  -0.07092238  0.22921302]
1812,[-2.04230978 -0.10738697  1.50625746]
1848,[0. 0. 0.]
1850,[ 2.63691734  0.31600089 -0.56968795]
1900,[2.93675408 0.56939383 1.60668499]
1903,[ 2.64620187e+05  8.44608652e-06 -4.17145591e-01]
1928,[-0. -0. -0.]
2012,[0. 0. 0.]
2024,[-1.36894342 -0.00538015 -0.01838213]
2030,[0. 0. 0.]
2033,[ 7.55539374e+01  1.52955779e-02 -2.16871941e-02]
2036,[ 1.33836323  0.19375403 -0.44006988]
2046,[-0. -0.  0.]
2084,[ 0.  0. -0.]
2090,[ 0.  0. -0.]
2103,[ 0.  0. -0.]
2106,[-0. -0. -0.]
2115,[-1.42533308 -0.16500847  0.02624846]
2134,[ 4.18059941  0.1003691  -0.18739069]
2139,[-1.12971309 -0.13925194  0.75620826]
2179,[-4.29406025e+02 -1.84124883e-02 -7.66146171e+00]
2189,[0. 0. 0.]
2197,[ 2.64019724  0.17315609 -0.0421985 ]
2238,[5.94626659 0.93587683 1.45900612]
2255,[-1.49910099 -0.23019822  0.43310697]
2276,[-1.18680722e+07 -3.24741214e-08 -8.60409544e-07]
2281,[ 2.85650151  0.14975965 -0.78204624]
2287,[-0. -0.  0.]
2288,[-2.68549083e+02 -4.68570362e-05  3.16217546e-08]
2295,[-0. -0. -0.]
2313,[-0. -0.  0.]
2324,[-1.38773814 -0.04344839  0.08858397]
2326,[29.41666627  0.19280831 -0.04423057]
2337,[0.84158346 0.00392448 0.03560833]
2358,[ 0.  0. -0.]
2363,[0. 0. 0.]
2375,[-5.4619232  -0.36345529 -0.13723571]
2399,[ 2.08853162  0.05556159 -0.65588163]
2437,[0. 0. 0.]
2439,[-1.58726749 -0.02713514  0.05931701]
2766,[-0. -0. -0.]
2793,[5.68990802 0.40073557 0.41258925]
2854,[-0. -0. -0.]
2954,[1.42236335 0.2217732  0.01225166]
2977,[0. 0. 0.]
3145,[0. 0. 0.]
3167,[2.49889853e+01 1.03332574e-01 6.06780981e-03]
3282,[1.5664789  0.38645758 0.90307302]
3346,[-0. -0. -0.]
3363,[4.57467394e+08 6.44269488e-09 2.49851846e-09]
3371,[11.44687837  0.02099718  0.40353382]
3373,[-0. -0.  0.]
3437,[-2.57731994 -0.34096233  0.36590543]
3556,[ 2.92568521  0.25827208 -0.72365286]
3675,[-10.40475045  -0.54725949  -3.39262126]
3827,[-0. -0.  0.]
3840,[-3.10170389 -0.43371878 -0.50771336]
4017,[-0. -0.  0.]
4091,[-1.55593338 -0.21402849  0.05737803]
4092,[-5.04080643 -0.1899471  -0.55621573]
4098,[ 1.57941226  0.21846711 -0.0600609 ]
4157,[-2.05583733 -0.09545917 -0.02433075]
4225,[0. 0. 0.]
4228,[ 2.96498142  0.36192585 -1.37648781]
4334,[ 0.  0. -0.]
4600,[0. 0. 0.]
4622,[-4.08085272e+00 -2.91596239e-03 -2.87572134e-04]
4785,[ 4.79805416  0.18425013 -0.38035017]
4795,[ 1.20603217  0.25899656 -0.33188899]
4900,[-1.63195343 -0.14873759  0.28303813]
4938,[ 3.57245084  0.01202169 -0.00481294]
5429,[4.69510082 0.27400388 0.22964087]
5439,[-0. -0.  0.]
5448,[0.71716586 0.16623364 0.1669365 ]
5452,[-0. -0. -0.]
5479,[-0. -0. -0.]
5483,[ 7.06323794e+03  8.14569726e-08 -4.13411850e-03]
5490,[-0. -0.  0.]
5499,[ 0.  0. -0.]
5506,[0. 0. 0.]
5539,[ 0.  0. -0.]
5543,[-0. -0.  0.]
5582,[0. 0. 0.]
5585,[-0. -0.  0.]
5604,[-10.43794351  -0.44475554   0.17673459]
5609,[-1.99743431e+03  1.32709066e-04  1.09869278e-01]
5623,[13.22968257  0.07886415  0.16195967]
5639,[-0. -0.  0.]
5674,[ 0.  0. -0.]
5694,[69.63322041  0.07031451  2.0388557 ]
5709,[3.56509680e+01 2.70259035e-02 2.47023533e+00]
5710,[-1.44016272 -0.17744219  0.0680503 ]
5722,[0. 0. 0.]
5724,[3.05782461 0.47478801 1.01810219]
5728,[0. 0. 0.]
5737,[ 0.  0. -0.]
5741,[-1.8545251  -0.00553707 -0.00315561]
5743,[3.20533159 0.51128843 0.45003697]
5769,[-2.52311802 -0.01848435  0.24795504]
5770,[0. 0. 0.]
5777,[-1.87094967 -0.05267914 -0.23676342]
5790,[1.11356729 0.07631366 0.00779597]
5792,[-1.29089199 -0.15908962 -0.10545379]
5829,[3.15629018 0.78812549 3.60166043]
5834,[-1.58549501 -0.19233199  0.22186627]
5899,[ 5.34088865  0.01095808 -0.25683379]
5903,[-2.49713866e+06 -3.84007281e-07  6.34645958e-09]
5920,[-4.13592683 -0.17705596 -0.0273164 ]
5922,[-3.3550325  -0.91887357 -3.20663746]
5956,[0. 0. 0.]
5963,[-1.82189993e+01 -1.03446310e-02  1.26550274e-02]
6073,[12.45734245  0.06341542  0.15447001]
6102,[-1.48165185 -0.16674152  0.39204549]
6238,[1.54878062 0.17981788 0.35342777]
6251,[-2.34601088e+14 -1.79393064e-17  2.95674019e-10]
6280,[ 5.58510505  0.32533395 -0.55125977]
6323,[ 0.  0. -0.]
6333,[-0. -0. -0.]
6345,[-4.04028973e+00 -9.87898755e-02 -1.22285953e-03]
6347,[ 0.  0. -0.]
6366,[-1.32263644 -0.49774571 -1.22094368]
6398,[ 1.39695173  0.13297399 -1.10239971]
6492,[-3.13478463 -0.46996418 -1.04738918]
6505,[0.71902428 0.01831633 0.01465518]
6537,[-1.28491167 -0.09019208  0.24553415]
6543,[0. 0. 0.]
6563,[-0. -0. -0.]
6577,[-5.22559667e+00 -2.26542901e-01  8.37810191e-04]
6611,[-4.665447   -0.20531104  0.73617418]
6637,[1.40756021 0.37500895 0.20611548]
6662,[0.64017768 0.05638977 0.10980921]
6866,[ 4.3015232   0.08706206 -0.38082677]
6871,[1.19186133 0.05037548 0.42625459]
6900,[7.11264349e+01 5.55033570e-03 8.82376415e-03]
6906,[-1.14173491 -0.05414065  0.16072603]
6990,[-4.73321786 -0.19138139  0.50513623]
7021,[0.84030261 0.19062148 0.55058406]
7033,[ 2.88760076  0.32813603 -0.33550611]
7056,[-2.51202777 -0.1918885   0.31630304]
7060,[-2.94167771e+01 -4.95564636e-03 -3.95812271e-03]
7125,[0. 0. 0.]
7128,[-1.73502848e+01  1.41803014e-02  8.07504015e-01]
7134,[-9.70809110e+00 -6.07694353e-04 -9.05779197e-03]
7158,[3.33115748e+10 1.58417202e-14 1.41856679e-07]
7181,[ 0.  0. -0.]
7197,[0.62258226 0.03142253 0.10278886]
7248,[0. 0. 0.]
7283,[1.59092528e+04 2.13401666e-05 4.29204185e-06]
7286,[ 4.49055716e+01  2.64816285e-02 -1.64202904e-02]
7303,[-5.65728199 -0.86647914 -3.54273864]
7306,[ 2.43199104  0.31169817 -2.45714333]
7312,[-2.39695049e+02 -4.36300246e-04  3.42386194e-03]
7318,[ 8.99188908  0.11850057 -0.8427428 ]
7338,[-7.01836442 -0.03336491 -0.01157639]
7346,[ 0.  0. -0.]
7352,[ 0.  0. -0.]
7355,[ 4.32613099  0.26847883 -2.00564038]
7371,[0. 0. 0.]
7384,[0. 0. 0.]
7400,[ 1.42574395  0.18323098 -0.14957736]
7403,[-1.45145066 -0.07414387 -0.16767802]
7418,[0. 0. 0.]
7454,[ 0.66637304  0.02910446 -0.17050506]
7569,[2.58532778 0.13558804 0.91702957]
7620,[-1.26832473 -0.15252542  0.01785012]
7887,[-5.07640412 -0.49329992 -1.65851881]
7958,[ 2.85446051  0.2176397  -0.29332641]
8067,[-5.82717130e+03 -1.39051178e-03  1.76832406e-02]
8234,[ 0.  0. -0.]
8245,[9.68364461e+01 5.32555845e-08 4.83839434e-07]
8250,[12.37607636  0.13217789  0.03132205]
8253,[ 0.  0. -0.]
8255,[-2.55552786 -0.32283409  0.04286318]
8284,[-2.85452923e+02 -1.58952037e-03  1.81851412e-02]
8314,[8.07359151 0.07452424 0.80792525]
8362,[-7.10874197e+02 -6.13826374e-06  9.71894285e-06]
8487,[3.31497096e+02 3.76509388e-03 1.84076515e+00]
8570,[0. 0. 0.]
8672,[3.643901   0.07046908 0.20726012]
8680,[ 0.  0. -0.]
8681,[ 1.30030551e+05  3.27511688e-08 -1.05200740e-08]
8782,[25.22497712  0.04195008 -0.31704445]
8864,[-1.32848194 -0.09009877  0.04567268]
8870,[-0. -0.  0.]
8890,[-4.26534111 -0.23611406  0.36512868]
8930,[-0.64470763 -0.05586281  0.01125725]
8936,[-6.15358414e+03 -9.64309040e-05 -2.31986443e-03]
8937,[-4.76830207 -0.13503684 -0.00830701]
9141,[ 6.47633126e+01  2.01263231e-03 -1.43265655e-01]
9226,[ 1.53469477  0.19142402 -0.06852392]
9227,[-1.29094108 -0.14887828  0.4771395 ]
9354,[ 2.14952571  0.09454607 -0.2804834 ]
9373,[-2.48100692 -0.14503466 -0.04034404]
9408,[3.87329716 0.08815336 0.02383452]
9417,[0. 0. 0.]
9525,[3.06890441 0.43334465 0.9762068 ]
9571,[-5.96347198 -0.38829576  0.09204453]
9574,[-1.1721152  -0.03705237  0.01219019]
9613,[-0. -0.  0.]
9856,[-0. -0.  0.]
9893,[ 2.69331992  0.35069647 -1.69644405]
9908,[3.61082825e+01 8.42001070e-04 2.52309074e+00]
10030,[-25.33308957  -0.04129     -3.44776388]
10118,[19.01147248  0.26570937 -0.01914713]
10241,[1.17574915 0.03637457 0.00732677]
10354,[1.31948177 0.07522176 0.5399964 ]
10560,[-0. -0.  0.]
10590,[ 2.64748665  0.46592489 -2.09095552]
10607,[-1.10790281 -0.07514781 -0.14050326]
10697,[3.02830179 0.07882544 1.11372073]
10819,[ 2.61887418e+01  2.08801045e-02 -7.99482087e-03]
10951,[ 2.23209691  0.24294882 -1.77607646]
10965,[ 1.46146441  0.20599475 -0.70051292]
10985,[ 1.21763924  0.05755194 -0.17848071]
11120,[-8.54893659 -0.21534001  0.32191647]
11224,[1.08737921e+01 1.02470718e-03 2.23658103e-04]
11231,[0.85049552 0.23091877 0.66345293]
11400,[ 0.  0. -0.]
11629,[-0. -0.  0.]
11657,[ 0.  0. -0.]
11690,[2.97904522 0.43983167 0.28042952]
11944,[ 0.  0. -0.]
11993,[0. 0. 0.]
12100,[-1.11018297 -0.01630398  0.08444748]
12112,[17.69496683  0.36631956  0.55956861]
12154,[-0.53052303 -0.02577273 -0.21047847]
12272,[-1.45208594e+01 -1.36494003e-01  1.06215819e-03]
12331,[ 0.  0. -0.]
12390,[ 2.57839263  0.48380784 -2.33526327]
12490,[ 1.44114996  0.11488708 -0.49999328]
12495,[-1.4218917  -0.14899695  0.102841  ]
12512,[-2.11505411 -0.05055844 -0.03486409]
12524,[-0. -0. -0.]
12538,[-1.00623788e+08  1.14372408e-13  2.71256347e-08]
12569,[ 3.05040641e+01  1.93932315e-02 -5.25519504e-02]
12614,[4.42328885 0.00977523 0.62146108]
12619,[0. 0. 0.]
12641,[ 0.  0. -0.]
12651,[3.27572383 0.70973541 0.45387978]
12663,[ 2.61053356  0.28283623 -1.99300702]
12673,[-2.51467073 -0.35065409  1.59394874]
12692,[16.01065968  0.23287828 -0.36116214]
12702,[ 0.  0. -0.]
12707,[-5.19027531 -0.10533965 -0.46567777]
12710,[3.3193417  0.71497249 1.48320731]
12725,[-0. -0. -0.]
12734,[-1.12235524 -0.05190152 -0.04987483]
12784,[-0. -0. -0.]
12815,[-0. -0. -0.]
12817,[ 1.4560696   0.16490346 -0.26283075]
12824,[-9.55987398e+03 -5.16746093e-07  1.31108662e-07]
12835,[-1.73610467 -0.04238424 -0.04317459]
12863,[ 0.  0. -0.]
12917,[-0. -0.  0.]
12945,[-3.03680966e+00 -1.88070918e-03  7.12889821e-04]
12965,[0. 0. 0.]
12982,[-0. -0. -0.]
12990,[ 0.  0. -0.]
13026,[-1.53504709 -0.28165342 -0.66796729]
13080,[-2.20489752e+02 -6.33223516e-03  3.67619824e-02]
13093,[ 6.67651374e+03  5.13398606e-04 -5.03309741e-03]
13094,[0. 0. 0.]
13104,[ 0.  0. -0.]
13126,[-0. -0.  0.]
13141,[6.83996037 0.03085778 0.26745773]
13173,[-7.06307271 -0.10603526 -1.23998319]
13221,[ 8.11470545e+01  3.57786887e-02 -5.31636359e-01]
13256,[-2.58983698 -0.50049264  1.96201081]
13273,[ 0.  0. -0.]
13518,[0. 0. 0.]
13540,[10.00464671  0.01196853 -0.06881525]
13552,[-0. -0. -0.]
13582,[4.00877840e+01 2.32725072e-02 3.17540530e-01]
13672,[-0. -0. -0.]
13850,[-4.75568737 -0.09298649  0.34623646]
13935,[-13.40717186  -0.10359371   1.68728219]
14079,[2.95406599 0.63187978 0.91899618]
14232,[-6.34355486 -0.10765068  0.16724528]
14374,[-6.83076354 -0.11666709 -0.17372436]
14387,[ 0.  0. -0.]
14433,[ 2.888821    0.36758965 -0.14486208]
14449,[-0. -0.  0.]
14451,[-0.  0. -0.]
14456,[-2.89353833e+03 -3.40087486e-06  2.53785673e-04]
14538,[5.54804947 0.5486456  0.15098308]
14599,[ 2.25383509  0.07368895 -0.58153684]
14638,[ 0.  0. -0.]
14710,[-2.9756436  -0.41945564 -0.22348583]
14722,[1.02158687 0.01743312 0.25043758]
14744,[-0. -0. -0.]
14768,[-2.00778094e+01 -4.80677953e-04 -3.92463057e-01]
14808,[0. 0. 0.]
14867,[2.97146946 0.48199785 0.11250911]
14888,[4.42740282 0.08833571 0.14025324]
14897,[2.33774244e+05 8.82381348e-06 7.08619990e-03]
14914,[0. 0. 0.]
14958,[ 0. -0.  0.]
14998,[ 0.  0. -0.]
15008,[-0.48344996 -0.00276017  0.00215985]
15021,[-0. -0. -0.]
15040,[-1.37314883 -0.22449637 -0.20125269]
15044,[-1.37702626 -0.19236473  0.14272482]
15046,[2.71726308 0.17882793 0.28687835]
15049,[-0. -0.  0.]
15076,[ 2.14067674e+01  1.36945062e-02 -1.18048804e-01]
15081,[-2.69243518 -0.41052031 -2.05884849]
15093,[0. 0. 0.]
15135,[ 0.  0. -0.]
15150,[ 1.14769927  0.03280169 -0.00857376]
15161,[3.05365121 0.3806255  0.39830899]
15184,[0.9473937  0.03148325 0.24157472]
15185,[ 0. -0. -0.]
15187,[-1.26962022 -0.09735172  0.03269401]
15202,[ 2.49156621  0.20097376 -0.10348804]
15250,[ 9.33052322  0.34956073 -0.78267751]
15258,[-0. -0.  0.]
15268,[-4.59063844 -0.24221578 -0.11143824]
15288,[3.51512408 1.39317927 3.3921609 ]
15310,[-1.51829727 -0.27873237  0.0198259 ]
15351,[0.67951691 0.05314454 0.13125425]
15361,[-0. -0. -0.]
15408,[-3.28730456e+34 -3.19695243e-34 -1.29674943e-21]
15418,[ 0.  0. -0.]
15497,[1.00351689e+02 6.36105816e-03 2.03144632e-02]
15602,[-9.41482682e+00 -1.20863832e-03  4.00328762e-03]
15651,[ 3.63288748  0.04393344 -0.12558404]
15700,[-0. -0. -0.]
15822,[-2.88369454 -0.35467843 -0.11655949]
15918,[2.712833   0.37832416 0.4981651 ]
15945,[0. 0. 0.]
15957,[-11.87475715  -0.08127922  -0.21049964]
16009,[-0. -0.  0.]
16106,[ 1.74226299e+05  6.71507254e-07 -3.16010679e-05]
16130,[0.62870453 0.03504293 0.04231519]
16155,[-5.77353911e+02 -3.72087309e-03 -1.62556171e-03]
16161,[ 1.4491658   0.20259965 -0.78435726]
16220,[2.98008225 0.58811464 1.41700196]
16231,[-0. -0. -0.]
16246,[-2.69620122e+01 -1.80464174e-02  4.04234262e-02]
16488,[7.33170825e+01 3.60606910e-03 2.44830282e-02]
16492,[0.81412986 0.10527829 0.09587582]
16504,[-1.44228102 -0.22622668  0.01642997]
16599,[-0. -0. -0.]
16601,[-1.59572169e+01 -1.13739770e-02  2.30384727e-01]
16634,[ 6.40307045e+09  1.18367519e-19 -1.26646925e-17]
16692,[ 2.67071028  0.42943181 -1.44210842]
16718,[-2.51508314e+00 -1.38020958e-03  5.63326567e-02]
16795,[-0. -0. -0.]
16805,[ 1.55421428  0.21824977 -0.1433256 ]
16871,[-5.12154701 -0.28741854  0.20993085]
16908,[-0. -0. -0.]
16916,[2.66818799e+07 2.53438989e-07 2.37027918e-08]
16966,[0. 0. 0.]
16999,[ 2.82098494  0.3653442  -0.47646702]
17058,[0. 0. 0.]
17159,[ 0.79163924  0.13107077 -0.01680759]
17177,[ 0.  0. -0.]
17190,[-1.05049127e+01 -3.52571107e-05  1.13707037e-03]
17233,[2.71723192 0.61301343 0.92290928]
17282,[ 1.96086377e+01  1.71887902e-02 -3.06583946e-02]
17507,[-0. -0.  0.]
17667,[-0. -0.  0.]
17703,[-2.60274432 -0.17928532 -0.91885283]
17842,[ 3.16220273  0.35782082 -0.45635108]
17859,[0. 0. 0.]
17894,[ 6.37109802e+00  3.95380507e-03 -1.53708011e-01]
17906,[-0. -0. -0.]
17950,[0. 0. 0.]
17970,[-2.53062031 -0.19216351  0.82417426]
18002,[-2.65399137 -0.68949975 -0.33815444]
18012,[-5.22204631e+00 -3.66389312e-01 -3.63660150e-03]
18067,[-0. -0.  0.]
18082,[-5.17816800e+02 -1.75849041e-03 -3.32853368e-03]
18095,[-1.62884877 -0.31459349 -0.08198702]
18155,[-0. -0.  0.]
18172,[64.22940493  0.06478957 -0.48048027]
18250,[-1.26290664 -0.08693653 -0.34008719]
18309,[ 2.93248706  0.05326814 -0.05257565]
18332,[-2.31667404 -0.17768043 -0.69654737]
18333,[0.69325917 0.14301427 0.46283629]
18366,[0. 0. 0.]
18384,[0. 0. 0.]
18385,[ 0.  0. -0.]
18395,[ 9.50258436e+00  7.97844834e-03 -1.69486128e-04]
18411,[-0. -0.  0.]
18412,[18.07516531  0.2691513   1.40209192]
18428,[-1.36921093 -0.39296669 -1.27964916]
18439,[-5.88333481e+01 -3.20555172e-04  3.26528140e-02]
18464,[2.27315749 0.08536624 0.53238918]
18494,[ 0.56300853  0.07108651 -0.3797664 ]
18629,[1.17910474 0.05448547 0.33416976]
18672,[ 3.92180024  0.03199603 -0.0312658 ]
18702,[-10.10114977  -0.67323481  -1.25697362]
18714,[ 2.63221992  0.06854627 -0.30056548]
18722,[0.98164303 0.30860726 0.16650012]
18741,[2.86424844 0.83742846 1.47693841]
18747,[5.07333497 0.56977085 2.92578578]
18850,[-1.83476912e+04 -1.31630332e-02  3.68484575e-01]
18852,[ 0.  0. -0.]
18869,[ 2.42308753  0.15600058 -1.12065996]
18908,[ 2.96413681  0.3266568  -1.82925277]
18913,[ 0.67910722  0.03291482 -0.00201681]
18922,[-3.54053945 -0.06222884 -0.24260187]
18945,[-0. -0. -0.]
18979,[ 2.64804907  0.0824668  -0.17637798]
19018,[ 2.72989362  0.18028061 -0.45118585]
19019,[-0. -0.  0.]
19031,[-0. -0. -0.]
19085,[2.89987912e+04 1.79271372e-11 2.32078981e-19]
19206,[-2.89061331 -0.37166026  0.45105482]
19220,[-0.  0.  0.]
19221,[-1.20156032 -0.03976971 -0.44082377]
19238,[2.8973647  0.58513661 1.24322436]
19248,[1.78324427 0.01933974 0.39228396]
19254,[-0. -0. -0.]
19259,[-2.40555295 -0.14891971 -0.16068282]
19303,[-0.77633125 -0.11322599  0.14231352]
19362,[-3.32272177 -0.72916459 -1.19638775]
19422,[ 4.54178445  0.27213462 -1.88481948]
19440,[0. 0. 0.]
19477,[-1.45007411 -0.202631    0.10283141]
19498,[-1.33405592 -0.10440592  0.97721149]
19503,[ 2.37554799  0.00418068 -0.00483748]
19522,[ 9.10152371e+03  1.90210274e-04 -9.72748160e-05]
19565,[2.37869063 0.01762861 0.0580301 ]
19570,[ 0.  0. -0.]
19573,[0. 0. 0.]
19580,[ 2.53593534  0.5805691  -0.64340683]
19609,[-5.15392129 -1.03296704 -1.77762691]
19611,[26.06664169  0.21258707  2.42966307]
19664,[ 0.  0. -0.]
19681,[0. 0. 0.]
19753,[-8.48510215 -0.26417144  0.03107727]
19760,[-3.57450195e+01 -1.49114629e-04  1.33043286e-02]
19800,[-0. -0. -0.]
19815,[-1.62938471 -0.3363374  -1.01255806]
19885,[-1.50570256e+00 -2.22412202e-01 -2.15150308e-04]
19969,[ 0.  0. -0.]
19970,[ 7.33290253  0.16386697 -0.02235626]
19972,[12.94681744  0.07727849  0.03876109]
19983,[-1.40639008 -0.17529117 -0.60332512]
20005,[0. 0. 0.]
20034,[-0. -0.  0.]
20052,[-3.93792771e+01 -1.49470881e-02 -7.61516331e-04]
20060,[-0. -0. -0.]
20062,[0. 0. 0.]
20106,[0. 0. 0.]
20115,[-0. -0. -0.]
20119,[-1.03409694e+02 -2.57129975e-03 -1.53780952e-05]
20120,[-2.72659741 -0.55983346 -1.15488521]
20126,[-0.53946456 -0.01153469 -0.01233528]
20149,[ 0.  0. -0.]
20164,[3.85026507 0.06432392 1.15024707]
20172,[-8.47522465e+03 -1.76884437e-05 -8.91993604e-03]
20180,[ 6.61403441e+00  1.77433661e-04 -2.31746780e-05]
20201,[-6.08223892e+08  9.13620672e-13 -8.72718204e-02]
20240,[-0. -0.  0.]
20250,[-3.42905137 -0.83933542 -2.32687742]
20254,[-4.99968532 -0.23556279  0.01226398]
20265,[-0. -0. -0.]
20300,[3.14635581 0.66720486 1.66602378]
20319,[ 2.63550501  0.2599334  -0.52152473]
20332,[ 0.  0. -0.]
20336,[-6.10974131 -0.0119306   0.2296607 ]
20345,[8.24971507 0.21213667 0.03003581]
20347,[3.11281046 0.45851945 0.09089724]
20350,[ 0.76944117  0.12980009 -0.20933468]
20401,[ 2.30629705  0.05335843 -0.0065747 ]
20409,[-6.08673809e+01 -1.83210885e-02 -3.61424418e+00]
20415,[4.27326016 0.08579669 0.01051328]
20418,[ 0.  0. -0.]
20446,[1.06769669e+01 2.86160205e-02 2.13825322e-04]
20458,[-1.3201575  -0.08490034 -0.18427684]
20501,[1.69813604 0.35266341 0.10051977]
20561,[0. 0. 0.]
20664,[-0. -0. -0.]
20680,[-0. -0.  0.]
20738,[-0.81472879 -0.30345407  0.87084646]
20751,[-2.40775269 -0.06793732  0.2052916 ]
20794,[-0. -0. -0.]
20799,[-1.41600381 -0.21135779 -0.04397226]
20801,[-1.34962082 -0.09875255  0.82707943]
20804,[-3.01187748 -0.55653634  0.29540385]
20845,[10.61152166  0.52863098  2.24348125]
20851,[ 3.0577011   0.42153055 -0.02947614]
20859,[ 4.24080388e+03  9.57195307e-02 -6.04660820e-01]
20860,[-1.2696701  -0.12869575  0.13052003]
20961,[0.86238541 0.03195371 0.10335244]
20971,[-0. -0. -0.]
20995,[ 2.64216484  0.28821657 -0.04073216]
21011,[-0. -0.  0.]
21028,[-1.72899124 -0.48270592 -0.9454803 ]
21031,[0. 0. 0.]
21049,[7.1398798  0.04643722 0.49992053]
21075,[-14.86353113  -0.09223968  -1.42903266]
21079,[ 2.39955486  0.64229572 -1.14859471]
21083,[-1.55177993 -0.18301376  0.13170186]
21112,[ 3.21585917  0.09923229 -0.3590561 ]
21155,[-4.96555565 -0.21983488  0.05492488]
21194,[ 1.46437976  0.11764255 -0.30547887]
21207,[-3.85681863 -0.02299453 -0.23041774]
21252,[ 0.  0. -0.]
21261,[9.16994745 0.248158   0.12971535]
21343,[ 1.06436718e+03  2.19079695e-03 -8.54269230e-03]
21356,[-0. -0.  0.]
21357,[0. 0. 0.]
21364,[0. 0. 0.]
21368,[ 1.26146533  0.05697867 -0.64057137]
21369,[3.21209362 0.93074849 2.17592031]
21370,[ 0.  0. -0.]
21398,[-0. -0. -0.]
21469,[ 9.01429513  0.16881018 -0.19669752]
21484,[-0. -0.  0.]
21559,[0. 0. 0.]
21576,[-0. -0.  0.]
21593,[-8.17597316e+00 -1.20962721e-01 -5.91570100e-04]
21618,[-0. -0.  0.]
21649,[9.95140067 0.02395293 0.03613511]
21659,[-1.33404386e+09 -2.78699304e-10 -1.70238009e-10]
21660,[2.52924407 0.32331609 0.23417099]
21684,[ 0.  0. -0.]
21692,[-0. -0.  0.]
21708,[ 0.  0. -0.]
21750,[0. 0. 0.]
21774,[ 5.72114591  0.40140462 -0.25250533]
21822,[-3.24730342 -0.92078164 -1.91990631]
21867,[ 0.  0. -0.]
