isbn,feature
0590416960,"[-0.8760134  -0.45503476 -0.772981   ... -0.4027456  -0.43505603
  0.5190861 ]"
0553062042,"[-0.9383925  -0.45645323 -0.74729    ... -0.52574384 -0.43766257
  0.47331983]"
0307115380,"[-0.7097007  -0.17388506  0.4199459  ... -0.24405736 -0.44187877
  0.5185339 ]"
8445071777,"[-0.8012262  -0.41673625 -0.8521522  ... -0.57678795 -0.48100105
  0.5064497 ]"
0786927062,"[-0.8147631  -0.2971157  -0.3652744  ... -0.5789285  -0.4854476
  0.53004473]"
0312252617,"[-0.7876967  -0.22583078  0.20072487 ... -0.5775216  -0.48572943
  0.52748924]"
1400303214,"[-0.79314077 -0.27592736  0.00682181 ... -0.4027456  -0.43505603
  0.5190861 ]"
0316973742,"[-0.8997588  -0.3886664  -0.25187322 ... -0.46933448 -0.43552983
  0.48671606]"
0553347594,"[-0.7559426  -0.17771491 -0.04367382 ... -0.5609731  -0.44168457
  0.454223  ]"
067976397X,"[-0.83920264 -0.30250797  0.19427866 ... -0.54986596 -0.44785368
  0.46302843]"
9684443102,"[-0.85054    -0.311653   -0.9533372  ... -0.47096467 -0.44854826
  0.5261583 ]"
0671864769,"[-0.8433309  -0.27493033  0.0582021  ... -0.51647323 -0.43499112
  0.49718618]"
0806112441,"[-0.8958933  -0.49490857 -0.6777113  ... -0.5649154  -0.47818217
  0.5126288 ]"
842161861X,"[-0.7658348  -0.29474896 -0.01233852 ... -0.46933448 -0.43552983
  0.48671606]"
0312953453,"[-0.8776094  -0.29880396 -0.11125569 ... -0.5258696  -0.4621476
  0.4933698 ]"
0310250641,"[-0.79244155 -0.36473265 -0.807324   ... -0.5258696  -0.4621476
  0.4933698 ]"
0446608653,"[-0.75458777 -0.12692972  0.5684596  ... -0.56038046 -0.48278293
  0.48747635]"
0310232538,"[-0.86805    -0.41881683 -0.68395203 ... -0.4027456  -0.43505603
  0.5190861 ]"
0440409101,"[-0.9306986  -0.457466   -0.87590945 ... -0.5143895  -0.49771494
  0.51843464]"
0553584383,"[-0.88296103 -0.22544035 -0.00785649 ... -0.5601432  -0.47745803
  0.4820637 ]"
0060093269,"[-0.84456444 -0.37966186 -0.7314947  ... -0.4027456  -0.43505603
  0.5190861 ]"
0743439740,"[-0.9094942  -0.49716803 -0.740884   ... -0.04603468 -0.4035997
  0.5536485 ]"
0553484222,"[-0.8765498  -0.39878634 -0.85028815 ... -0.5143895  -0.49771494
  0.51843464]"
0380619458,"[-0.8483407  -0.27927348 -0.1382419  ... -0.46933448 -0.43552983
  0.48671606]"
0806524103,"[-0.9033696  -0.6230241  -0.9412922  ... -0.512617   -0.44719544
  0.4810125 ]"
0840734530,"[-0.878662   -0.41809216 -0.03704694 ... -0.5789285  -0.4854476
  0.53004473]"
0749004754,"[-0.8406445  -0.46204844 -0.84166604 ... -0.54384834 -0.47100672
  0.5217349 ]"
073943828X,"[-0.8564083  -0.32587156 -0.5346633  ... -0.54384834 -0.47100672
  0.5217349 ]"
0192835025,"[-0.9585912  -0.4989332  -0.8773469  ... -0.4027456  -0.43505603
  0.5190861 ]"
0373707541,"[-0.8397527  -0.27767414 -0.1808127  ... -0.56497514 -0.47539926
  0.52548456]"
0441011276,"[-0.8996331  -0.45848292 -0.7606519  ... -0.5709141  -0.47523037
  0.49991134]"
0451521390,"[-0.82535815 -0.21024267  0.1590697  ... -0.52574384 -0.43766257
  0.47331983]"
1591823145,"[-0.8679236  -0.31827897 -0.39530265 ... -0.5563258  -0.4539173
  0.49575248]"
0440212596,"[-0.77846515 -0.16127226  0.6201867  ... -0.5495989  -0.46044135
  0.48820615]"
0321196775,"[-0.8677027  -0.47543833 -0.7887762  ... -0.5649154  -0.47818217
  0.5126288 ]"
0061099325,"[-0.93419355 -0.55407333 -0.86836696 ... -0.54384834 -0.47100672
  0.5217349 ]"
0330484516,"[-0.9043592  -0.39415345 -0.39719623 ... -0.512617   -0.44719544
  0.4810125 ]"
0393020371,"[-0.8666564  -0.19021806  0.08095076 ... -0.5725819  -0.4513052
  0.36173677]"
1900850303,"[-0.8235502  -0.17856045  0.2791905  ... -0.58924943 -0.5122034
  0.45802566]"
0345425294,"[-0.90558267 -0.33384046 -0.04397665 ... -0.54384834 -0.47100672
  0.5217349 ]"
0553583468,"[-0.842585   -0.3468216  -0.32904667 ... -0.56038046 -0.48278293
  0.48747635]"
0345353315,"[-0.8770616  -0.34744805 -0.6133     ... -0.512617   -0.44719544
  0.4810125 ]"
8476409419,"[-0.76027757 -0.26156372 -0.56844145 ... -0.4027456  -0.43505603
  0.5190861 ]"
0451525221,"[-0.8352668  -0.31518337 -0.08456197 ... -0.52574384 -0.43766257
  0.47331983]"
0385336772,"[-0.9193218  -0.46884796 -0.36402947 ... -0.46933448 -0.43552983
  0.48671606]"
0140252800,"[-0.8646265  -0.24678291  0.09872861 ... -0.5443953  -0.4846659
  0.4853188 ]"
0140250964,"[-0.9259641  -0.4313693  -0.54805183 ... -0.46933448 -0.43552983
  0.48671606]"
039575514X,"[-0.82558924 -0.20887846  0.3666898  ... -0.5432278  -0.4462272
  0.4748135 ]"
0830714014,"[-0.87893957 -0.49680495 -0.69301796 ... -0.512617   -0.44719544
  0.4810125 ]"
0345354931,"[-0.905318   -0.47483447 -0.8267748  ... -0.5789285  -0.4854476
  0.53004473]"
0553278223,"[-0.91106623 -0.37118137 -0.4192529  ... -0.52866673 -0.43686965
  0.49155256]"
3257203659,"[-0.9247765  -0.41364077 -0.6889625  ... -0.57560706 -0.47975782
  0.5064386 ]"
3257208669,"[-0.88047767 -0.5381991  -0.89248157 ... -0.58745056 -0.49394128
  0.49465236]"
3257210450,"[-0.9343525  -0.46161747 -0.34422836 ... -0.5417692  -0.45123842
  0.47887644]"
3257214154,"[-0.93166405 -0.46936053 -0.74087995 ... -0.5675282  -0.45962796
  0.5004342 ]"
342311360X,"[-0.8214312  -0.30932328  0.27149135 ... -0.56990254 -0.4750972
  0.5028051 ]"
3423116714,"[-0.89749867 -0.366483    0.11465173 ... -0.53113914 -0.4401348
  0.47272828]"
3548254268,[-0.8913335 -0.4437231 -0.8018129 ... -0.5615101 -0.4743888  0.5031157]
0312872682,"[-0.8823695  -0.34648845 -0.3632094  ... -0.54384834 -0.47100672
  0.5217349 ]"
0345404793,"[-0.87719476 -0.30698147 -0.9038895  ... -0.5258696  -0.4621476
  0.4933698 ]"
0345433173,"[-0.8156505  -0.183353   -0.09915572 ... -0.46933448 -0.43552983
  0.48671606]"
0375400117,"[-0.8617354  -0.4741672  -0.64004815 ... -0.5432278  -0.4462272
  0.4748135 ]"
0380717018,"[-0.9063257  -0.5060794  -0.9222014  ... -0.54384834 -0.47100672
  0.5217349 ]"
0380718332,"[-0.86232156 -0.4704174  -0.9004515  ... -0.54384834 -0.47100672
  0.5217349 ]"
038076654X,"[-0.80330545 -0.30972978  0.17386658 ... -0.55333614 -0.46308547
  0.52222294]"
0380807866,"[-0.773319   -0.1672385   0.6558198  ... -0.55333614 -0.46308547
  0.52222294]"
0385316895,"[-0.82884806 -0.27184138  0.08591846 ... -0.5768424  -0.47848636
  0.48188362]"
0385511612,"[-0.8944573  -0.48318863 -0.9755152  ... -0.55960053 -0.47272483
  0.46821007]"
0446610399,"[-0.72291106 -0.14058292  0.55271834 ... -0.56497514 -0.47539926
  0.52548456]"
0451186648,"[-0.92504776 -0.3137471  -0.30149814 ... -0.5258696  -0.4621476
  0.4933698 ]"
0553580388,"[-0.79101294 -0.285183   -0.03351659 ... -0.5258696  -0.4621476
  0.4933698 ]"
0671023616,"[-0.8807482  -0.466176   -0.8886998  ... -0.54384834 -0.47100672
  0.5217349 ]"
0671027387,"[-0.8975227  -0.36364004 -0.40052527 ... -0.5513963  -0.4548289
  0.4684951 ]"
0804117934,"[-0.9068259  -0.38974676 -0.5487919  ... -0.5543861  -0.45834333
  0.49015316]"
0060987103,"[-0.9179465  -0.49200702 -0.8494249  ... -0.57678795 -0.48100105
  0.5064497 ]"
0151008116,"[-0.8084031  -0.30432048  0.22350672 ... -0.46933448 -0.43552983
  0.48671606]"
0375704965,"[-0.79307884 -0.2784737   0.47816744 ... -0.54384834 -0.47100672
  0.5217349 ]"
0804111359,"[-0.92312306 -0.43417078 -0.6045479  ... -0.54399216 -0.4682805
  0.49234053]"
1558744150,"[-0.8556556  -0.39355534 -0.87436694 ... -0.512617   -0.44719544
  0.4810125 ]"
006102063X,"[-0.92141306 -0.44791296 -0.7560919  ... -0.5744064  -0.47293663
  0.4983684 ]"
0060013117,"[-0.9425582  -0.578576   -0.9302831  ... -0.5744064  -0.47293663
  0.4983684 ]"
0060199563,"[-0.92106545 -0.5616916  -0.7514203  ... -0.5744064  -0.47293663
  0.4983684 ]"
0061040967,"[-0.89095575 -0.3979078  -0.7198781  ... -0.5812463  -0.48765025
  0.50681543]"
0061052515,"[-0.8688895  -0.35261774 -0.6975534  ... -0.5744064  -0.47293663
  0.4983684 ]"
0140620664,"[-0.8972064  -0.25884712  0.03481677 ... -0.51618946 -0.4430714
  0.47404528]"
0312156960,"[-0.8904218  -0.39327615 -0.5315307  ... -0.5798631  -0.4783422
  0.49402487]"
0380730448,"[-0.8936849  -0.44709274 -0.7385556  ... -0.55589205 -0.4942591
  0.4970168 ]"
0380973839,"[-0.9403272  -0.4284208  -0.5467742  ... -0.52866673 -0.43686965
  0.49155256]"
0451526279,"[-0.88291407 -0.3627911  -0.34848645 ... -0.51618946 -0.4430714
  0.47404528]"
0743245024,"[-0.9180553  -0.56827855 -0.73730654 ... -0.46933448 -0.43552983
  0.48671606]"
0749748028,"[-0.84204644 -0.32384217  0.23675618 ... -0.5074948  -0.4837458
  0.49601665]"
1401201172,"[-0.8910298  -0.46737596 -0.6345422  ... -0.5558316  -0.43472913
  0.44973773]"
156971620X,"[-0.9453017  -0.43704304 -0.59881747 ... -0.29242522 -0.3694783
  0.46046117]"
0375719180,"[-0.85531    -0.30521828 -0.12807052 ... -0.46933448 -0.43552983
  0.48671606]"
0440235502,"[-0.8851323  -0.37680012 -0.04555092 ... -0.5054487  -0.45430103
  0.52125025]"
044023722X,"[-0.86114526 -0.2274433  -0.02850602 ... -0.5360456  -0.46403673
  0.4752013 ]"
0520011171,"[-0.86701    -0.31977636 -0.2853242  ... -0.5290406  -0.46186033
  0.46578467]"
0670856045,"[-0.890867   -0.2580461  -0.6947588  ... -0.46933448 -0.43552983
  0.48671606]"
0872200760,"[-0.9031752  -0.39542258 -0.42923185 ... -0.54150957 -0.4660557
  0.53044015]"
0671649949,"[-0.9442588  -0.48962316 -0.8681938  ... -0.52412254 -0.4618604
  0.46039444]"
0972044205,"[-0.72443    -0.14986992  0.6841843  ... -0.5140602  -0.4342742
  0.49421746]"
0345430476,"[-0.7737444  -0.13529009  0.4889328  ... -0.5495989  -0.46044135
  0.48820615]"
0345435869,"[-0.88906527 -0.53799635 -0.9738723  ... -0.5789285  -0.4854476
  0.53004473]"
038081840X,"[-0.94777143 -0.59769607 -0.97755706 ... -0.5789285  -0.4854476
  0.53004473]"
0312979002,"[-0.8483927  -0.35647532 -0.1444548  ... -0.5543861  -0.45834333
  0.49015316]"
0812541642,"[-0.89242625 -0.17147295  0.21736105 ... -0.56967866 -0.4737778
  0.49986354]"
0684193957,"[-0.89493287 -0.2568474  -0.24693386 ... -0.54384834 -0.47100672
  0.5217349 ]"
0380730138,"[-0.8785026  -0.4561179  -0.8030825  ... -0.46933448 -0.43552983
  0.48671606]"
0553219480,"[-0.7459373  -0.2459615   0.23945946 ... -0.56497514 -0.47539926
  0.52548456]"
0553219057,"[-0.80757433 -0.274478   -0.3305487  ... -0.56497514 -0.47539926
  0.52548456]"
0553218956,"[-0.63902557 -0.2596111   0.32138205 ... -0.56497514 -0.47539926
  0.52548456]"
0553217984,"[-0.67687744 -0.0357235   0.07159543 ... -0.56497514 -0.47539926
  0.52548456]"
0060188731,"[-0.85351855 -0.23050967 -0.3462024  ... -0.46933448 -0.43552983
  0.48671606]"
0142001740,"[-0.91173536 -0.43399966 -0.12828705 ... -0.5432278  -0.4462272
  0.4748135 ]"
0449207544,"[-0.8626717  -0.21419476  0.2648645  ... -0.54384834 -0.47100672
  0.5217349 ]"
0515128554,"[-0.891744   -0.3434526  -0.5131768  ... -0.59106356 -0.4997767
  0.53114617]"
067103619X,"[-0.85789883 -0.25401968  0.2684407  ... -0.51618946 -0.4430714
  0.47404528]"
0743470389,"[-0.82823694 -0.10650188 -0.19580622 ... -0.5807232  -0.5033759
  0.4799739 ]"
0451154916,"[-0.7888871  -0.21748441  0.5019156  ... -0.512617   -0.44719544
  0.4810125 ]"
0785815147,"[-0.8181707  -0.4141165  -0.60271853 ... -0.512617   -0.44719544
  0.4810125 ]"
0875421288,"[-0.8238313  -0.3114457  -0.71764344 ... -0.512617   -0.44719544
  0.4810125 ]"
1567184294,"[-0.7866969  -0.4603988  -0.7494021  ... -0.512617   -0.44719544
  0.4810125 ]"
156718796X,"[-0.91980135 -0.44896388 -0.7901858  ... -0.512617   -0.44719544
  0.4810125 ]"
1862047626,"[-0.8711377  -0.32051957  0.04406931 ... -0.512617   -0.44719544
  0.4810125 ]"
0373196989,"[-0.8951887  -0.43110132 -0.69589365 ... -0.56497514 -0.47539926
  0.52548456]"
0060973897,"[-0.86109287 -0.4147604   0.00939253 ... -0.5715631  -0.46387953
  0.49716848]"
1562613502,"[-0.8660495  -0.34959096 -0.7972488  ... -0.5156409  -0.4696934
  0.52221745]"
039456894X,"[-0.78734905 -0.18445168  0.56784785 ... -0.46933448 -0.43552983
  0.48671606]"
0449213773,"[-0.8274894  -0.290331    0.23710237 ... -0.46933448 -0.43552983
  0.48671606]"
0679427430,"[-0.89641345 -0.48726845 -0.892146   ... -0.06591122 -0.38135746
  0.53054136]"
0679725393,"[-0.9220519  -0.3526344  -0.18999474 ... -0.46933448 -0.43552983
  0.48671606]"
0553285408,"[-0.8878473  -0.32474855 -0.61410993 ... -0.4489938  -0.4377583
  0.5339427 ]"
0940322978,"[-0.7853411  -0.23519814 -0.2635757  ... -0.46933448 -0.43552983
  0.48671606]"
1579651658,"[-0.69275475 -0.13069928  0.6701328  ... -0.54177934 -0.46412575
  0.46355906]"
0517587874,"[-0.8041299  -0.22417235  0.36485195 ... -0.04603468 -0.4035997
  0.5536485 ]"
0451520521,"[-0.9340342  -0.5030538  -0.74362415 ... -0.46933448 -0.43552983
  0.48671606]"
0441297528,"[-0.68085027 -0.11266624  0.4804147  ... -0.5789285  -0.4854476
  0.53004473]"
0425036596,"[-0.8929556  -0.2757506  -0.33865663 ... -0.51647323 -0.43499112
  0.49718618]"
0345286006,"[-0.82742757 -0.33226487 -0.8180352  ... -0.5789285  -0.4854476
  0.53004473]"
0345297709,"[-0.91388965 -0.37940636 -0.5831307  ... -0.5789285  -0.4854476
  0.53004473]"
0515134279,"[-0.85077167 -0.33615923 -0.14965005 ... -0.55538493 -0.47607097
  0.48450866]"
0385490992,"[-0.6419363  -0.08494948  0.7715148  ... -0.53935564 -0.46798337
  0.46798602]"
0312980388,"[-0.903192   -0.434077   -0.58560055 ... -0.58630514 -0.4858916
  0.49609953]"
055356451X,"[-0.8915325  -0.26973552 -0.14361028 ... -0.5601432  -0.47745803
  0.4820637 ]"
084994371X,"[-0.82904017 -0.11481974  0.59320164 ... -0.5258696  -0.4621476
  0.4933698 ]"
038549825X,"[-0.8496367  -0.2801592   0.24678531 ... -0.5615101  -0.4743888
  0.5031157 ]"
0806962518,"[-0.82776946 -0.35150924 -0.78130394 ... -0.5213858  -0.43189853
  0.48775446]"
067170124X,"[-0.9033433  -0.4971049  -0.82474047 ... -0.46933448 -0.43552983
  0.48671606]"
0805056491,"[-0.8891732  -0.34787828 -0.7618669  ... -0.54834497 -0.4455728
  0.49476945]"
0679401377,"[-0.8366582  -0.29989266 -0.31052467 ... -0.5500408  -0.4691263
  0.5238743 ]"
8472239373,"[-0.91597706 -0.47439682 -0.5953173  ... -0.46933448 -0.43552983
  0.48671606]"
8449303044,"[-0.74109375 -0.24998017 -0.49340773 ... -0.04603468 -0.4035997
  0.5536485 ]"
0385306032,"[-0.94209176 -0.38134554 -0.5605354  ... -0.56497514 -0.47539926
  0.52548456]"
0821772953,"[-0.8742332  -0.24123582 -0.07697219 ... -0.5770392  -0.48636815
  0.5059441 ]"
0345379454,"[-0.8011981  -0.2129515   0.28711918 ... -0.54384834 -0.47100672
  0.5217349 ]"
0553576925,"[-0.94168884 -0.5168852  -0.81993353 ... -0.56038046 -0.48278293
  0.48747635]"
843928036X,"[-0.78817767 -0.28533438 -0.24854589 ... -0.54384834 -0.47100672
  0.5217349 ]"
8427285280,"[-0.74696946 -0.14713077 -0.26575887 ... -0.54384834 -0.47100672
  0.5217349 ]"
8427201079,"[-0.8225149  -0.33654636 -0.08155794 ... -0.54384834 -0.47100672
  0.5217349 ]"
8403595425,"[-0.583716   -0.32312405 -0.5792799  ... -0.5845997  -0.4789985
  0.4963747 ]"
0452274400,"[-0.84315634 -0.31392857 -0.55346006 ... -0.52574384 -0.43766257
  0.47331983]"
0812519655,"[-0.8349963  -0.21735232  0.15755238 ... -0.58326846 -0.49809474
  0.5220195 ]"
0812524853,"[-0.91012114 -0.4877355  -0.7407496  ... -0.58449435 -0.5044512
  0.5032121 ]"
0449126404,"[-0.7602104  -0.20223632  0.50642014 ... -0.54384834 -0.47100672
  0.5217349 ]"
0446392588,"[-0.8327393  -0.31449527 -0.51352674 ... -0.04603468 -0.4035997
  0.5536485 ]"
0670626511,"[-0.91122824 -0.40150452 -0.4423016  ... -0.46933448 -0.43552983
  0.48671606]"
0312995431,"[-0.8671143  -0.32181808 -0.31566495 ... -0.54384834 -0.47100672
  0.5217349 ]"
0446394521,"[-0.8764663  -0.524534   -0.9203169  ... -0.46933448 -0.43552983
  0.48671606]"
0553578693,"[-0.7253223  -0.11907773  0.59075934 ... -0.53935564 -0.46798337
  0.46798602]"
0061096091,"[-0.738641   -0.08338052  0.5604214  ... -0.5443953  -0.4846659
  0.4853188 ]"
0553298860,"[-0.92838275 -0.3894416  -0.62958896 ... -0.54384834 -0.47100672
  0.5217349 ]"
073570869X,"[-0.8353441  -0.17911075 -0.11268866 ... -0.54427916 -0.44617683
  0.507497  ]"
0679450432,"[-0.8095296  -0.23466551  0.394414   ... -0.5443953  -0.4846659
  0.4853188 ]"
0312198906,"[-0.82704043 -0.26741564 -0.19264126 ... -0.52866673 -0.43686965
  0.49155256]"
0821770209,"[-0.66886294 -0.12468342  0.8152487  ... -0.56497514 -0.47539926
  0.52548456]"
0061042943,"[-0.86595833 -0.35859707 -0.45742777 ... -0.5443953  -0.4846659
  0.4853188 ]"
006015781X,"[-0.8830153  -0.42443448 -0.83890885 ... -0.5198706  -0.46459875
  0.5096375 ]"
0156013967,"[-0.7294739  -0.11299872  0.6537601  ... -0.46933448 -0.43552983
  0.48671606]"
0385314019,"[-0.71882796 -0.17662293  0.535598   ... -0.54384834 -0.47100672
  0.5217349 ]"
0743444167,"[-0.8023534  -0.27657247 -0.36565834 ... -0.5615101  -0.4743888
  0.5031157 ]"
1567920047,"[-0.851564   -0.41865614 -0.85896075 ... -0.56539994 -0.43715617
  0.4374003 ]"
0207189455,"[-0.91291666 -0.41960388 -0.6659342  ... -0.04603468 -0.4035997
  0.5536485 ]"
0207189412,"[-0.8754443  -0.4305595  -0.68610644 ... -0.04603468 -0.4035997
  0.5536485 ]"
0207143714,"[-0.886736   -0.48613572 -0.810333   ... -0.4027456  -0.43505603
  0.5190861 ]"
0002216485,"[-0.85451204 -0.35810792 -0.36129543 ... -0.5258696  -0.4621476
  0.4933698 ]"
0060083298,"[-0.71212417 -0.15128455  0.51731575 ... -0.56497514 -0.47539926
  0.52548456]"
0446672211,"[-0.8775374  -0.3898568  -0.53053725 ... -0.46933448 -0.43552983
  0.48671606]"
0807070718,"[-0.8573372  -0.47727734 -0.38910368 ... -0.54177934 -0.46412575
  0.46355906]"
0743213831,"[-0.8854066  -0.33603203 -0.10039628 ... -0.4027456  -0.43505603
  0.5190861 ]"
0062517856,"[-0.884374   -0.32792702 -0.23459585 ... -0.5615101  -0.4743888
  0.5031157 ]"
0679767789,"[-0.84970856 -0.39422235 -0.6415017  ... -0.06591122 -0.38135746
  0.53054136]"
0425169626,"[-0.84104675 -0.32627827 -0.32193944 ... -0.5615101  -0.4743888
  0.5031157 ]"
0201416069,"[-0.94308585 -0.48546833 -0.76351625 ... -0.47096467 -0.44854826
  0.5261583 ]"
0140029400,"[-0.7313495  -0.1604595   0.545319   ... -0.46933448 -0.43552983
  0.48671606]"
2253005274,"[-0.74302447 -0.31958783 -0.10092939 ... -0.46933448 -0.43552983
  0.48671606]"
2070417743,"[-0.92824614 -0.46803963 -0.7859245  ... -0.52866673 -0.43686965
  0.49155256]"
2266033689,"[-0.7069432  -0.2500758   0.39116955 ... -0.5615101  -0.4743888
  0.5031157 ]"
0878577475,"[-0.88082016 -0.2558335  -0.29525003 ... -0.3916287  -0.42018545
  0.52160627]"
2070384349,"[-0.8664004  -0.38193348 -0.4123651  ... -0.46933448 -0.43552983
  0.48671606]"
207053880X,"[-0.7268633  -0.27286556 -0.19419785 ... -0.46933448 -0.43552983
  0.48671606]"
2070334368,"[-0.69877756 -0.31933522 -0.3737892  ... -0.5143895  -0.49771494
  0.51843464]"
0879059508,"[-0.9657046  -0.43639562 -0.883237   ... -0.4997047  -0.40669665
  0.43866524]"
038080798X,"[-0.8406802  -0.40252253 -0.290951   ... -0.5789285  -0.4854476
  0.53004473]"
1405300566,"[-0.8089477  -0.38799492 -0.87006074 ... -0.4551339  -0.4195797
  0.5123444 ]"
0446525502,"[-0.72291106 -0.14058292  0.55271834 ... -0.56497514 -0.47539926
  0.52548456]"
0385500769,"[-0.79960364 -0.22864948  0.2616657  ... -0.46933448 -0.43552983
  0.48671606]"
0399147012,"[-0.76297265 -0.19066067  0.30228543 ... -0.5258696  -0.4621476
  0.4933698 ]"
0688180639,"[-0.8973032  -0.45993802 -0.8190205  ... -0.46933448 -0.43552983
  0.48671606]"
0451197275,"[-0.87997425 -0.3004516   0.02931541 ... -0.52574384 -0.43766257
  0.47331983]"
1583670238,"[-0.92509824 -0.5392745  -0.90516025 ... -0.47612432 -0.45176816
  0.5215464 ]"
0425184129,"[-0.8480822  -0.2134687   0.32877362 ... -0.54399216 -0.4682805
  0.49234053]"
0679442790,"[-0.73545116 -0.23058936  0.6343639  ... -0.52574384 -0.43766257
  0.47331983]"
0897331214,"[-0.6189335  -0.17910066  0.7132874  ... -0.5543861  -0.45834333
  0.49015316]"
0525943862,"[-0.9230831  -0.64680696 -0.9506709  ... -0.5615101  -0.4743888
  0.5031157 ]"
